Algoritmo,TamMatriz,Hilos,Repeticion,Tiempo_microsegundos
mmClasicaPosix,4,4,16,641
mmClasicaPosix,4,4,17,301
mmClasicaPosix,4,4,18,295
mmClasicaPosix,4,4,19,514
mmClasicaPosix,4,4,20,313
mmClasicaPosix,4,4,21,408
mmClasicaPosix,4,4,22,283
mmClasicaPosix,4,4,23,263
mmClasicaPosix,4,4,24,317
mmClasicaPosix,4,4,25,330
mmClasicaPosix,4,4,26,300
mmClasicaPosix,4,4,27,313
mmClasicaPosix,4,4,28,889
mmClasicaPosix,4,4,29,559
mmClasicaPosix,4,4,30,738
mmClasicaPosix,4,8,1,493
mmClasicaPosix,4,8,2,444
mmClasicaPosix,4,8,3,392
mmClasicaPosix,4,8,4,432
mmClasicaPosix,4,8,5,493
mmClasicaPosix,4,8,6,460
mmClasicaPosix,4,8,7,426
mmClasicaPosix,4,8,8,610
mmClasicaPosix,4,8,9,688
mmClasicaPosix,4,8,10,549
mmClasicaPosix,4,8,11,544
mmClasicaPosix,4,8,12,403
mmClasicaPosix,4,8,13,431
mmClasicaPosix,4,8,14,485
mmClasicaPosix,4,8,15,398
mmClasicaPosix,4,8,16,413
mmClasicaPosix,4,8,17,1230
mmClasicaPosix,4,8,18,880
mmClasicaPosix,4,8,19,479
mmClasicaPosix,4,8,20,455
mmClasicaPosix,4,8,21,462
mmClasicaPosix,4,8,22,734
mmClasicaPosix,4,8,23,442
mmClasicaPosix,4,8,24,446
mmClasicaPosix,4,8,25,1786
mmClasicaPosix,4,8,26,2956
mmClasicaPosix,4,8,27,716
mmClasicaPosix,4,8,28,4942
mmClasicaPosix,4,8,29,538
mmClasicaPosix,4,8,30,980
