Algoritmo,TamMatriz,Hilos,Repeticion,Tiempo_microsegundos
mmFilasOpenMP,4,8,12,237
mmFilasOpenMP,4,8,13,239
mmFilasOpenMP,4,8,14,253
mmFilasOpenMP,4,8,15,242
mmFilasOpenMP,4,8,16,289
mmFilasOpenMP,4,8,17,648
mmFilasOpenMP,4,8,18,244
mmFilasOpenMP,4,8,19,275
mmFilasOpenMP,4,8,20,4888
mmFilasOpenMP,4,8,21,245
mmFilasOpenMP,4,8,22,266
mmFilasOpenMP,4,8,23,294
mmFilasOpenMP,4,8,24,237
mmFilasOpenMP,4,8,25,290
mmFilasOpenMP,4,8,26,283
mmFilasOpenMP,4,8,27,262
mmFilasOpenMP,4,8,28,245
mmFilasOpenMP,4,8,29,341
mmFilasOpenMP,4,8,30,298
